연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
5399,빛담도예학원,대구 수성구,(42287) 대구광역시 수성구 고산로4길 48 1층,128.7045254,35.83165978,
5400,신고성요양보호사교육원,경남 고성군,(52942) 경상남도 고성군 중앙로43번길 16 3층,128.3252171,34.97459325,
5401,네버랜드아카데미학원,울산 북구,(44244) 울산광역시 북구 상방로 149 (연암동) 4층5층,129.3661867,35.5837062,
5402,신암요양보호사교육원,대구 동구,(41264) 대구광역시 동구 신천동 동부로 40 3층,128.6169157,35.87418534,
5403,엠아이티컴퓨터학원,경기 수원시 팔달구,(16257) 경기도 수원시 팔달구 정조로788번길 18 (팔달로2가) 2층,,,
5404,남서울요양보호사교육원,서울 영등포구,(07404) 서울특별시 영등포구 도림로 291 4층 남서울요양보호사교육원,126.9030318,37.5035994,
5405,상록수요양보호사교육원,서울 성동구,(04721) 서울특별시 성동구 행당로 1 301호,127.0202763,37.55476242,
5406,진주노인통합지원센터,경남 진주시,(52730) 경상남도 진주시 장재새미길53번길 35 ,,,
5407,증산요양보호사교육원,경남 양산시,"(50614) 경상남도 양산시 서들8길 49 더베스트타워 501호,502호",129.0090035,35.30800552,
5408,김포커피바리스타전문학원,경기 김포시,"(10071) 경기도 김포시 김포한강9로 73 604호 (구래동, 센트럴프라자 1동)",126.6252489,37.64329308,
5409,리버커피바리스타학원,인천 동구,(22520) 인천광역시 동구 화도진로 70 (화평동) 4층,126.6317337,37.47823629,
5410,씨제이대한통운(주)건설부문,서울 서초구,(06703) 서울특별시 서초구 남부순환로 2271 CJ방배사옥,127.0004175,37.47498994,
5411,한국제과제빵커피학원,경남 창원시 성산구    ,(51436) 경상남도 창원시 성산구 용지로153번길 10 (용호동 동원빌딩) 402호,128.6804821,35.2292077,
5412,김해한길요양보호사교육원,경남 김해시,(50948) 경상남도 김해시 내외중앙로 44 801 (덕산베스트 코아801호),128.8668532,35.23393351,
5413,새동엔지니어링(주) 드론교육원,서울 관악구,(08710) 서울특별시 관악구 당곡길 36 대성빌딩 503호(이론교장)                       (실습장) 경기도 시흥시 방산동 779-54,126.9287618,37.49090533,
5414,폴인레더 가죽공예학원,경남 진주시,"(52818) 경상남도 진주시 동부로169번길 12 윙스타워 A123, 124호",128.1272321,35.16489704,
5415,주식회사제주도드론,제주 서귀포시,(63522) 제주특별자치도 서귀포시 신화역사로 372-4 104호 (실기교육장:제주특별자치도 서귀포시 안덕면 동광로 107),126.3277244,33.30909315,
5416,휘슬링락컨트리클럽,강원 춘천시,(24465) 강원도 춘천시 동촌로 501 휘슬링락컨트리클럽,127.675059,37.76760161,
5417,제이스키친컬리너리아카데미학원,경기 용인시 기흥구,"(17064) 경기도 용인시 기흥구 중부대로 372 3,4층",127.1083889,37.27135014,
5418,래이컴퓨터아트학원,충남 천안시 동남구,"(31119) 충청남도 천안시 동남구 터미널2로 40 (신부동 우진빌딩) 102호/201~203호/301호(신부동, 우진빌딩)",127.1583075,36.8223231,
5419,목동요양보호사교육원,서울 양천구,(08005) 서울특별시 양천구 오목로 318 세화빌딩4층,126.8727091,37.52448186,
5420,(주)이씨네식품,광주 광산구,(62417) 광주광역시 광산구 평동로913번길 24 (주)이씨네식품,126.7745045,35.12774323,
5421,(주)삼성특장,광주 광산구,(62414) 광주광역시 광산구 평동로803번길 126 (주)삼성특장,126.7610528,35.13551382,
5422,주식회사웰파인,강원 횡성군,(25249) 강원도 횡성군 우천제2농공단지로 77 웰파인,128.0630672,37.4504579,
5423,주식회사오산홈,광주 북구,(61056) 광주광역시 북구 양일로 170 (주)오산홈,126.88349,35.19732137,
5424,더숨99지원센터,전북 군산시,(54172) 전라북도 군산시 할미로 171 ,,,
5425,국제커피제과직업전문학원,경기 수원시 장안구,(16417) 경기도 수원시 장안구 서부로 2136 3층전체 (율전동),126.9723733,37.29882045,
5426,청주요양보호사교육원,충북 청주시 상당구,(28510) 충청북도 청주시 상당구 상당로 150 (북문로2가) 2층(북문로2가),127.4900828,36.64157583,
5427,청운노인복지센터,서울 동작구,(07043) 서울특별시 동작구 국사봉1길 145 청운노인복지센터,126.933088,37.49579135,
5428,주식회사경남창원중장비학원,경남 창원시 성산구    ,(51436) 경상남도 창원시 성산구 용지로 149 (용호동 남강빌딩) 301호,128.6806512,35.22834921,
5429,안동탑요양보호사교육원,경북 안동시,(36658) 경상북도 안동시 경북대로 418 B동303호,128.6999473,36.56618763,
5430,(주)지에스티산업,충북 진천군,(27816) 충청북도 진천군 밤디길 88 (주)지에스티산업,127.4558885,36.92331196,
5431,한빛간호학원,충북 청주시 흥덕구,(28586) 충청북도 청주시 흥덕구 가로수로1351번길 3 201호(복대동),127.4429515,36.6338204,
5432,신촌아바평생교육원(P12),서울 마포구,(04101) 서울특별시 마포구 신촌로 102-1 무송빌딩 5층,126.9373337,37.55453828,
5433,동인간호학원,대구 남구,(42498) 대구광역시 남구 월배로 468 (대명동 한영유니죤빌딩) 2층,128.5557348,35.83457583,
5434,인천목마름목공학원,인천 서구,"(22674) 인천광역시 서구 청마로34번길 32-20 인천목마름목공학원 1층, 2층",126.6670233,37.58808173,
5435,마석요리학원,경기 남양주시,(12176) 경기도 남양주시 마석로 32 3층,127.3066607,37.65380445,
5436,원스플라워디자인학원,경북 포항시 북구,(37753) 경상북도 포항시 북구 새천년대로 550 2층 원스플라워디자인학원,129.351902,36.02337241,
5437,제주신화월드주식회사,제주 서귀포시,(63521) 제주특별자치도 서귀포시 안덕면 녹차분재로 217 제주신화월드주식회사,,,
5438,J*K 웰딩마스터학원 ,경기 평택시,"(17748) 경기도 평택시 칠괴길 56-3 (모곡동) 제1동, 제2동 전부",127.0761425,37.02491111,
5439,파주사랑요양보호사교육원,경기 파주시,(10909) 경기도 파주시 하우고개길 106-3 1층,126.7659885,37.70970929,
5440,윤뷰티아카데미학원,경기 안산시 단원구,(15239) 경기도 안산시 단원구 선부광장1로 82 서림프라자 407호 윤뷰티아카데미,126.8126096,37.33550513,
5441,증산간호학원,경남 양산시,"(50614) 경상남도 양산시 서들8길 49 더베스트타워 503호,504호",129.0090035,35.30800552,
5442,서초해오름요양보호사교육원,서울 서초구,"(06634) 서울특별시 서초구 서초중앙로20길 34-5 2층 (서초동, 명현홈빌딩)       평면도면 참조 202호",127.0160553,37.49220726,
5443,에듀빈 평생교육원,부산 연제구,(47524) 부산광역시 연제구 월드컵대로 160 JH빌딩 301호,129.0792136,35.18722506,
5444,내포요양보호사교육원,충남 홍성군,(32263) 충청남도 홍성군 충남대로 24 (홍북읍 내포제나우스오피스텔) 224호,126.6734203,36.65591254,
5445,증산나누리요양보호사교육원,경남 양산시,(50653) 경상남도 양산시 증산역로 163 7층 703호 일부,129.0079213,35.30959145,
5446,순천생협요양병원,전남 순천시,(57943) 전라남도 순천시 봉화로 62 순천생협요양병원,127.4964876,34.95632692,
5447,우리실버요양보호사교육원,서울 양천구,"(07905) 서울특별시 양천구 가로공원로 123 2층 (신월동, 우진팰리스)",126.8295926,37.53625644,
5448,한가람IT(아이티)전문학원,부산 금정구,(46279) 부산광역시 금정구 중앙대로 1617-12 상가 101동 2층 207호,129.0905864,35.22974868,
5449,명성간호학원,대구 달서구,(42608) 대구광역시 달서구 서당로9길 55 4층 명성간호학원,128.4924834,35.85613001,
5450,(사)대한민국경비협회 서울지방협회,서울 동대문구,(02490) 서울특별시 동대문구 홍릉로 28 (청량리동 성일빌딩) 4층,127.0446347,37.58239847,
5451,진주샘요양보호사교육원,경남 진주시,(52759) 경상남도 진주시 남강로 682 3층 일부,128.0861794,35.19106606,
5452,온아산직업전문학원,충남 아산시,(31480) 충청남도 아산시 배방로14번길 15 2층,127.0527956,36.77516048,
5453,(주)한국열연,경북 영천시,(38808) 경상북도 영천시 장수로 703 ,,,
5454,인천미추홀여성인력개발센터요양보호사교육원,인천 미추홀구,(22186) 인천광역시 미추홀구 아암대로 57 (용현동 항마스타타워) 항마스타타워 401호(용현동),126.6353917,37.45615537,
5455,한국아이티전문학원,충북 청주시 상당구,"(28541) 충청북도 청주시 상당구 사직대로361번길 158-10 (북문로3가) 701호, 801호",127.4874237,36.6437133,
5456,그린아이티아카데미학원,서울 강남구,"(06129) 서울특별시 강남구 강남대로96길 16 (역삼동) 2-4층, 5층 일부(역삼동)",127.0283606,37.49984568,
5457,송파여성인력개발센터 부설 요양보호사교육원,서울 송파구,"(05712) 서울특별시 송파구 중대로9길 34 (가락동 대호빌딩) 2,3,5층 (5층 요양보호사 교육원 해당)",127.118599,37.49618779,
5458,군산메디컬요양보호사교육원,전북 군산시,(54085) 전라북도 군산시 문화로 214 301호(경장동),126.7291748,35.97049659,
5459,에브리독애견미용학원,광주 동구,(61483) 광주광역시 동구 충장로 72 와이즈파크 9층 (일부),126.9151555,35.14865772,
5460,경기조경교육원,경기 성남시 수정구,(13313) 경기도 성남시 수정구 성남대로 1209 (수진동 신진빌딩) 4층 / 야외실습장(경기도 이천시 신둔면 고척리 55-18번지),127.1276498,37.43752363,
